zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
2/5/2025 16:49:04,PE1AA (229th Engineer),Less than 3 years,No,,No,,No,No,Yes,Undecided,Yes,Yes,Yes,Wanted to serve,Lack of realistic training ,Undecided ,More realistic training ,,,,,,,Yes,
2/5/2025 16:55:43,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No,Yes,State and federal TA,No,No,Yes,No,No,No,Yes,Adventurous ,Leadership decisions ,Flying for a civilian airline,More hot meals rather than MRE’s,,,,,,,No,
2/5/2025 16:56:49,PE1AA (229th Engineer),Greater than 6 years but less than 12,No,,Yes,"GI bill, no",No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,"Clearance, school, serve country ",N/a,N/a,Not sure ,,,,,,,Yes,
2/5/2025 17:00:53,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,Yes,State TA- did not find it clearly stated or advertised when it went to a reimbursement after the semester instead of disbursement at beginning ,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Continue service like my family did,Availability of training opportunities and funding fluctuate - difficult when you get stuff “guaranteed” and then taken away,Already re-enlisted but considering reclassing due to family planning,Advocate and participate in fundraisers/activities outside of drill weekends. Having a BN swag store online year round ,,,,,,,Yes,
2/5/2025 17:02:08,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,NA,Yes,State TA / Post 9/11,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,To become a Hero,Leadership ,Undecided ,NA,,,,,,,Yes,
2/5/2025 17:04:39,QJE90 (29th DIVARTY),Greater than 6 years but less than 12,Yes,No,No,,No,No,Yes,No,I am happy at my current unit,No,No,"It's important to serve the nation, also college benefits ",Army got rid of our capability then told us to sit while they aquire new equipment. it's been 2 years of not doing our job ,Not for me anymore ,"Purpose/mission/ or goal to aim towards. Enforce standards, not just push people along for sake of retention.

If everyone around is fat and weak how likely are you to stay motivated and care or even take it seriously?

We got a ton of new soldiers for our unit and none of them have even got to do what we signed up for at least I had a fun 3 years.",,,,,,,No,Our unit lost its MOS / system - doing nothing of value for the army
2/5/2025 17:12:28,PE1AA (229th Engineer),Greater than 12 years,Yes,No ,Yes,Post 9/11 GI Bill….zero issues ,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Continued service  and cheap health insurance ,No negative changes. ,Extending to eventually retire ,"Possibly doing longer MUTA’s, but on a quarterly basis.",,,,,,,Yes,
2/5/2025 17:31:37,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No,Yes,Mont GI & kicker,Yes,Yes,Yes,No,No,No,Yes,In-state tuition & Educational benefits,Incompetent Leadership,I no longer need educational benefits,Less toxic leadership,,,,,,,No,
2/5/2025 17:45:14,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No I want out now ,No,,No,No,No,No,No,No,No,Idk ,Everything ,I hate the va national guard ,Don't enlistment,,,,,,,No,I want out I don't want nothing to do with va guard was a waste of time
2/5/2025 17:51:36,PE1AA (229th Engineer),Greater than 12 years,Yes,No,Yes,GI Bill,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Multiple answer ,NA,NA,Communication ,,,,,,,Yes,
2/5/2025 17:54:32,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,Yes,Army ignited ,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Pay for college ,Nothing ,My tech position is tied to my unit so I have to reenlist ,If the people making decisions would hurry and get us some form of UAS. If they don’t I foresee a lot of people leaving the unit. ,,,,,,,Yes,
2/5/2025 17:57:47,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,n/a,Yes,"All, and no",No,Yes,Yes,No,No,No,No,Opportunitie,Leadership,Leadership,Better leadership,,,,,,,No,
2/5/2025 17:58:27,PE1AA (229th Engineer),Less than 3 years,No,,No,,No,No,Yes,No,I am happy at my current unit,Yes,Yes,American dream and changing the culture I grew up in,MOS and family issues ,Family issues career,Good as is in my opinion ,,,,,,,No,
2/5/2025 18:14:29,PE1AA (229th Engineer),Greater than 12 years,Yes,,Yes,Post 9/11 No,No,No,Yes,No,No,No,Yes,Finish retirement ,The army is sad and weak. I can fix it ,I'm going to retire and I've lost faith in the lethality and effectiveness of the national Guard ,PT and good training plans. ,,,,,,,Yes,
2/5/2025 18:18:29,PE1AA (229th Engineer),Greater than 3 years but less than 6,Yes,,Yes,Student repayment has been a continuing issue. I have served for 4 years and have yet to receive a single payment for my loans. I filled out the complete paper work three times and no payment was submitted. ,No,No,Yes,No,No,No,Yes,Service ,Lack of a mission. ,The last administration was too political and it showed that the army is just a test subject for what ever agenda that the president wants to push whether that be transgender soldiers or Covid vaccines. I’d rather not be a test subject for the army. I’d like to have a mission and achieve that mission. The army has also allowed overweight soldiers to continually slip through the cracks and it shows a lack of discipline throughout the ranks. Especially at a command level.,An actual mission. ,,,,,,,Yes,
2/5/2025 18:41:32,PE1AA (229th Engineer),Less than 3 years,No,No,No,,No,No,Yes,No,No,No,No,Opportunity ,Lack of opportunity ,Can’t say,More schools ,,,,,,,No,
2/5/2025 18:47:10,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,N/A,No,,No,Yes,No,Undecided,Yes,Yes,Yes,"School, benefits ","Started a family and have a hard time being away from them, especially on weekends! ",Leaning towards reeinlisting as long as I’m able to switch MOS to aviation otherwise I’m out ✌️,"BEING DONE BY THE TIME THAT WAS SAID, allowing us to go home, allowing enough time for lunch/dinner to dine in a restaurant and socialize with peers. 
ACTUALLY following drill schedule, Company activities/bonding… maybe sports PT ",,,,,,,No,
2/5/2025 18:52:15,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,No,,Yes,No,Yes,Undecided,Yes,Yes,Yes,School,Moved to a new location,Distance from unit ,More school slots,,,,,,,Yes,
2/5/2025 19:28:38,PE1AA (229th Engineer),Less than 3 years,No,N/A,Yes,"State TA. The recoupment program prevented me from securing funds because I get other forms of grants, so it didn’t look like I would owe. Consequently I did not received the fund that I earned which could have been used on other University related expenses.",No,No,Yes,No,No,No,Yes,Benefits,I wasn’t given benefits I thought I was entitled to when I enlisted.,N/A,N/A,,,,,,,No,N/A
2/5/2025 19:55:16,PE1AA (229th Engineer),Less than 3 years,No,Not deploying,Yes,Tuition assistance and GI bill,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,College money,"Minimal school slots, sometimes poor scheduling",I want to go active duty,"More school slots, more flexibility with splitting drill, more flexibility with changing units, more career progression support",,,,,,,No,
2/5/2025 20:16:32,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,,Yes,State Tuition Assistance,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,Selfless Service and to earn benefits.,Leadership at PLT level encourages a work environment where Soldier issues are not resolved until months later because they're not as important as completing the Company's to-do list.,"The main incentives for me to extend are the bonuses, insurance and retirement plans.",Work/rest cycles,,,,,,,Yes,
2/5/2025 20:29:39,PHPAA (1-116th INF BN),Less than 3 years,No,,No,,No,Yes,No,No,No,No,No,school,unit,it sucks,everything,,,,,,,No,
2/5/2025 22:04:20,PE1AA (229th Engineer),Less than 3 years,No,No,No,,No,No,No,No,No,Yes,Yes,New challenges,My family,I don't want to be separated from my family,Make recognitions of their small to large achievements,,,,,,,No,
2/5/2025 22:11:46,777AA (R&R),Greater than 12 years,Yes,N/A,Yes,GI Bill with E ArmyU,No,Yes,No,No,Yes,Yes,No,Serving my country. ,"In the last 6 months, leadership.  They have lost the reason we serve.  The senior NCOs only want to make themselves look good. ",Not in R&R.  It’s turned into a competition between the E9’s that I don't want to be a part of.  ,"Quit sweating the stupid things, and take care of your Soldiers.  Recruiting and civilian life have to somewhat mirror each other to be successful.  Find a way to realize that or bring SGM J back! ",,,,,,,Yes,All SGM Flag (Clay) cares about is flagging people.  He could care less if we can do our jobs effectively.  Typical POG!!  
2/5/2025 23:02:10,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,,Yes,,No,No,Yes,No,No,Yes,No,School ,Bad leadership ,Bad leadership ,Stop the toxic leadership,,,,,,,No,
2/6/2025 0:33:57,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,,No,,No,No,No,Yes,Yes,Yes,Yes,"I wanted to serve my country. But even though I’ve volunteered for numerous SAD missions, asked to go to multiple schools and extra trainings (fire fighting school, EOCA, etc) i’ve gotten no opportunities to serve or train. ",No training. No schools. No opportunities to develop my tactical knowledge or proficiency,Ultimately I will probably reenlist. I guess I’m a glutton for punishment and hope that I get the opportunity to serve.,"So many guys want to go to school. Sapper school , air assault, EOCA, etc. but just don’t get the opportunity. ",,,,,,,No,
2/6/2025 8:44:07,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No,Yes,State tuition assistance ,No,No,Yes,No,No,No,Yes,I wanted to have college paid for,Good ole boy attitudes and soldier’s entitlement for promotion due to time in service and grade even though it’s undeserved ,I’m commissioning,Generate more of a culture and identity as companies besides having a cool name of the battalion and companies,,,,,,,Yes,
2/6/2025 9:17:40,PE1AA (229th Engineer),Greater than 3 years but less than 6,Yes,,Yes,"TA, and no",No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,College benefits and work experience,Nothing,"Interested in re-enlistment for continued work experience and tuition assistance, not interested due to just lack of interest in military",Purchase drones,,,,,,,Yes,
2/6/2025 10:46:47,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,,No,,No,No,Yes,Undecided,No,Yes,Yes,School,The amount of commitments I have outside of the guard,The ratio of time invested to results/rewards gained,"I think being released at a more set time would greatly improve morale. It know it impossible, but it would increase morale especially on Sundays.",,,,,,,No,
2/6/2025 10:56:50,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,n/a,Yes,state ta and post 9-11,No,No,No,No,No,No,No,"I liked my job, but after deploying and the current stage it is in there is not much guidance going forward.",my job is in limbo as well as the people in my unit during mobilization were brutal.,"My job is not much of a job, I also don’t wish to take time off my civilian career for army training. It’s been a significant burden.",I genuinely have no clue. ,,,,,,,No,
2/6/2025 11:36:04,PE1AA (229th Engineer),Greater than 12 years,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Continue military service ,Nothing,N/A,More schools,,,,,,,Yes,
2/6/2025 11:37:12,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,When are we going to prepare? ,Yes,The ,No,No,Yes,Undecided,I am happy at my current unit,No,Yes,Family ,The balance of drill and school. The drive can be inconvenient at times when school is getting busier. ,I want to re-enlist because of the benefits. ,We should have more hands on training. ,,,,,,,No,
2/6/2025 11:50:53,PE1AA (229th Engineer),Less than 3 years,No,,Yes,Financial aid,No,Yes,Yes,No,I am happy at my current unit,No,Yes,New experiences and new skillsets,Nothing,I would prefer the army ng to be a nice chapter of my life rather than something I get stuck into.,Nothing really. Everyone seems happy.,,,,,,,No,
2/6/2025 12:07:21,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,Yes,GI Bill and STA,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits and career path,Retention incentives ,"Retention benefits, time away from family/ friends. I’d stay in for camaraderie and deployment",Less work between drills or paid time to complete online classes,,,,,,,Yes,
2/6/2025 14:19:13,777AA (R&R),Less than 3 years,No,,No,,Yes,Yes,No,Undecided,I am happy at my current unit,Yes,No,Tuition Assistance,Medical problems,I’m nowhere close to the end of my contract so far,Improved response times ,,,,,,,No,Response times being shorter than months
2/6/2025 15:36:47,PE1AA (229th Engineer),Greater than 3 years but less than 6,Yes,,Yes,state Ta and post 911 gi bill,No,No,Yes,No,No,No,Yes,spontaneous decision ,civilian life progressing,civilian life progressing ,unnecessary training like sleeping outside in the cold for literally no reason,,,,,,,No,
2/6/2025 15:52:16,X6TAA (329th HHC),Greater than 12 years,Yes,,No,,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,I wanted to serve my country and see new places,The my way is the highway mentality. The fact there’s no incentives for the guys that have been in longer then 13 years,Same answer as above this question.,"Just help them shape their careers, keep them on the patch that they wanna do with their career. It’s all about soldier care in my opinion it’s what keeps the younger soldiers in. We take care of them they stay in longer we don’t help them they get out of the armed forces.",,,,,,,Yes,
2/6/2025 16:19:55,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,,No,,No,No,Yes,No,No,No,No,Was gonna use educational benefits and wanted to also be able to do physical work that can help the community ,"Didnt go to college so those benefits are useless to me, i have been put on standby 3 separate times when missions come down and i volunteer but too many people volunteer and i never get selected. And immediately after AIT as a combat engineer i was placed in a HHC supply section then transferred to S3 9 months later. then when a captain in S3 took the CO position in a different company he asked if i wanted to transfer, i said yes, both he and the HHC CO signed off, but the MSG in charge of S3 refused to let me go until somebody else came in and i could teach them how to work in a TOC. I was then stuck in that S3 for over a year. Now i would much rather prioritize the future of my civilian career than worry about national guard bs",Same as above,Listen to what they want. As a new soldier i was begging to get out of S3 and i new a lot of older more burnt out soldiers that wouldve loved to have my job. My new unit is really good about school opportunities and missions but i no longer have the motivation or desire to focus on this career path. Maybe if things were handled differently earlier in my service i wouldnt have lost my motivation ,,,,,,,No,"Nothing, i dont do shit, im in a route clearance platoon in a time when the army is phasing out route clearance lol"
2/6/2025 17:51:20,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,,No,,No,Yes,No,No,No,No,No,Independence ,Pay issues and leadership,Pay issues that had my paper work and my proof of my issues on the desk as it’s just sitting there nobody working on it or even keeping contact with me about it and leadership feels too entitled to do stuff we enlisted do ,Focus more on the soldier care than anything ,,,,,,,No,Getting my pay right and have more focus on that 
2/6/2025 17:51:38,PHMAA (111th FA BN),Less than 3 years,No,Yes,No,,Yes,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Service and Educational benefits ,No answers to my questions ,No. Odyssey got answers to my questions ,Be there for your soldiers,,,,,,,No,
2/6/2025 18:01:27,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,No,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,No,I wasn't doing anything else with my life at the time and it seemed like the most natural course of action.,Drill for the most part has been an inconvenience with my civilian life. I think it would be best if I went active duty or reserves. ,"I would re-enlist as active duty or reserve duty only, never national guard.",More pay or inclusion of a performance bonus system. ,,,,,,,No,
2/6/2025 18:46:53,PE1AA (229th Engineer),Less than 3 years,No,No,Yes,State/FED TA,No,Yes,Yes,No,No,No,Yes,College benefits ,Nothing,Messed with personal life,None,,,,,,,No,
2/6/2025 19:45:11,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,New adventure ,medical ,I would re-enlist so I don’t have issues with my MEB,Attitude of higher leaders ,,,,,,,Yes,
2/6/2025 19:46:01,PHMAA (111th FA BN),Less than 3 years,No,No ,No,,No,No,Yes,Undecided,I am happy at my current unit,No,Yes,New experiences ,N/A,Career plans in civilian side ,N/A,,,,,,,No,
2/6/2025 19:47:16,PHMAA (111th FA BN),Greater than 12 years,Yes,,Yes,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,To serve my country ,Time management ,I’ve had enough ,"Better food, more M4 training",,,,,,,Yes,
2/6/2025 19:48:16,PHMAA (111th FA BN),Greater than 12 years,Yes,Yes,Yes,Certification ,No,Yes,Yes,Undecided,I am happy at my current unit,Yes,Yes,Health care ,Quality of soliders and resources ,The army national guard is a under funded and has been which limits our resources in the units the health care for retirement is outrageous.,Slow down the push for our training so the time allotted would allow NCOs to properly train the new and upcoming soliders ,,,,,,,Yes,
2/7/2025 0:05:31,X6SF3 (529th BN),Greater than 3 years but less than 6,No,No,No,,No,No,Yes,No,No,No,Yes,To boost my chances in the civilians world,It did not boost my chances in the civilian world,Being in the military has not given me the opportunities that I thought it would give me in the civilian world,Get us a new drone,,,,,,,No,
2/7/2025 6:11:35,PE1AA (229th Engineer),Less than 3 years,No,No,Yes,"Federal tuition assistance, I can’t login to army ignited",No,No,Yes,No,No,No,No,The tuition assistance ,The 3 days drills,I don’t see myself in the army in future ,I’m not sure ,,,,,,,No,
2/7/2025 6:36:21,V5KAA (29th DIV),Greater than 6 years but less than 12,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Adventure,A real life job,Money and time,Authorize beards,,,,,,,Yes,
2/7/2025 6:44:26,PE1AA (229th Engineer),Less than 3 years,No,,Yes,Army ignited & state TA,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Education benefits ,Not much,"Want to continue my studies and at the same time, I feel like I want to do something based on my major.","Help my battle buddy, get everyone united etc...",,,,,,,No,
2/7/2025 8:30:53,UAXAA (224th Aviation),Less than 3 years,No,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,The ability to serve and be station at one location rather than having to move around,Nothing yet,I’m happy with how this unit has treated me.,No more KP please,,,,,,,No,
2/7/2025 9:15:10,PHMAA (111th FA BN),Greater than 6 years but less than 12,Yes,,Yes,G.I Bill,Yes,No,No,No,No,No,No,MSO Reduction,Life goals,Army isn’t what I want to do anymore ,Be more organized and efficient ,,,,,,,Yes,Just feel expendable 
2/7/2025 9:20:13,UAXAA (224th Aviation),Greater than 12 years,Yes,,Yes,Go bill,No,No,No,No,No,No,No,Career akills,Doing the work of positions above me at multiple drills and AT’s and never getting the rank for the work ive done.  Given awards to prove that ive done the work but continually passed over for promotion.   ,With the life ive built outside of work it doesnt make sense to waste my time in a place im not valued.  ,Fix the promotion system.  ,,,,,,,Yes,Pass over on promotion 4 times in my 12 years in the guard
2/7/2025 10:08:48,P1XAA (276th EN),Greater than 12 years,Yes,No,Yes,Post 911 gi bull,Yes,No,Yes,Yes,Yes,Yes,Yes,Continuation of service until retirement ,Promotion,Deployment,More field training,,,,,,,Yes,N/A
2/7/2025 10:17:50,X6TAA (329th HHC),Greater than 6 years but less than 12,Yes,,Yes,State TA,No,No,Yes,Undecided,Yes,Yes,No,School,Lack of promotion opportunities ,There seemed to be a lack of opportunity for promotion ,Provide more opportunities for engagement ,,,,,,,No,I feel that my leadership lacks soilder care 
2/7/2025 10:31:55,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,Na,No,,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,To serve my country ,Not receiving tricare as a tech,To keep my job,Continuing solider care,,,,,,,Yes,
2/7/2025 10:34:43,UAXAA (224th Aviation),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Had the job I wanted,N/A,N/A,N/A,,,,,,,No,
2/7/2025 11:00:17,PE1AA (229th Engineer),Less than 3 years,No,,Yes,SLRP,No,No,Yes,No,No,No,No,Experience ,Poor leadership/ communication ,Looking to pursue my civilian career ,Change of leadership ,,,,,,,No,
2/7/2025 11:03:51,P1XAA (276th EN),Greater than 3 years but less than 6,No,No,Yes,Chapter 1606,No,No,Yes,Undecided,No,I am happy in my current MOS,Yes,Wanted to be a medic,Communication,I'm tired,If we're done with the tasks for the day let us go home,,,,,,,No,
2/7/2025 11:08:50,P1XAA (276th EN),Greater than 3 years but less than 6,Yes,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,College and traveling ,N/a,N/a,N/a,,,,,,,No,
2/7/2025 11:26:22,P1XAA (276th EN),Less than 3 years,No,Not at the moment ,No,,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Experience ,Nothing,Opportunities,Different exercises with leadership and more involvement ,,,,,,,No,
2/7/2025 11:27:58,PE1AA (229th Engineer),Less than 3 years,No,,No,,No,No,Yes,Undecided,Yes,Yes,Yes,"Benefits, enlistment bonus, tuition assistance, service to country",Equipment that is crucial for my MOS to operate being taken away before a replacement is available/decided upon. ,"Interested: benefits, tuition/credentialing assistance, experiences and travel (activations, deployments) 

Not interested: time away from family (activations, deployments, training exercises), major changes in current MOS, schedule conflicts with civilian job. ",Unsure,,,,,,,No,
2/7/2025 11:38:04,P1XAA (276th EN),Greater than 3 years but less than 6,Yes,None,No,,No,No,Yes,Yes,Yes,Yes,Yes,SLRP,A lot of mobilizations,Pay and benefits are fair,Drill report time,,,,,,,Yes,
2/7/2025 11:48:27,P1XAA (276th EN),Greater than 3 years but less than 6,No,Mental health ,No,,No,No,Yes,No,No,No,No,Grabdfatger,My life and how I’m doing ,My enlistment is up so I’m done ,Group stuff that’s fun and not talk down to us ,,,,,,,No,Communication sucks I get no responses
2/7/2025 11:49:29,P1XAA (276th EN),Less than 3 years,No,No,Yes,Federal Tuition Assistance. No,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits ,N/A,I am interested in extending for the benefits and retirement. ,N/A,,,,,,,No,N/A
2/7/2025 11:50:27,P1XAA (276th EN),Less than 3 years,No,No ,No,,No,No,Yes,No,No,No,Yes,Something different to try out ,Nothing ,No major reasons ,Kinder people ,,,,,,,No,
2/7/2025 11:51:20,P1XAA (276th EN),Greater than 3 years but less than 6,No,Minor beneficiary ,No,,No,No,Yes,Yes,Yes,I am happy in my current MOS,Yes,I anted to see if this would be something I could do full time ,Having children ,I am not interested in reenlisting as M-day I don't like having to switch from civilian side to military. If I reenlist I would have to be guaranteed AGR or enlisting as Active Duty.,No changes !,,,,,,,No,
2/7/2025 12:00:09,PE1AA (229th Engineer),Greater than 12 years,Yes,Not at this time,Yes,Gi bill,Yes,Yes,Yes,No,No,No,Yes,Desire to serve my country ,The behavior of past leadership,A need to focus on my civilian life,A greater focus on soilders well being at home,,,,,,,Yes,
2/7/2025 12:06:11,P1XAA (276th EN),Greater than 6 years but less than 12,Yes,No,No,,Yes,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits ,Nothing,I am interested ,None,,,,,,,Yes,
2/7/2025 12:10:03,P1XAA (276th EN),Greater than 12 years,Yes,Negative ,No,,No,Yes,Yes,No,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits and not full-time ,Retirement ,Retirement,Nothing morale seems better than I have seen at many other units ,,,,,,,Yes,
2/7/2025 12:14:05,P1XAA (276th EN),Less than 3 years,Yes,I do not at this time.,No,,No,Yes,Yes,No,No,No,Yes,family,Medical ,Increased risk for injury,I have nothing at this time ,,,,,,,Yes,
2/7/2025 12:26:13,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,No,No,,No,Yes,Yes,No,No,No,Yes,"



Inspired by my grandfather, college",Unlucky scheduling,Doesn’t align with my future goals,None,,,,,,,No,
2/7/2025 12:27:41,PHMAA (111th FA BN),Greater than 12 years,Yes,,Yes,,No,Yes,No,Undecided,Yes,I am happy in my current MOS,Yes,Freedom ,The unit…….. leadership….. etc,Because the unit moral is low ,"Provide valuable training, positive leadership and room for soldiers to grow.",,,,,,,Yes,
2/7/2025 12:32:14,PHMAA (111th FA BN),Less than 3 years,No,No,Yes,Army ignited. Haven’t gotten reimbursed,No,No,Yes,Undecided,Yes,Yes,Yes,Idk,Nothing so far,Want to go officer route,Isk,,,,,,,No,Na
2/7/2025 12:36:15,PE1AA (229th Engineer),Greater than 6 years but less than 12,Yes,No,Yes,State Tuiton Assistance and Montgomery G.I. Bill,Yes,Yes,Yes,Undecided,Yes,Yes,Yes,Education benefits and a legacy of family service,Things have been faily consistent throughout my military career. ,Mostly due to a very demanding civilian career that is where my primary interests lie for the future. ,More R&R events to show appreciation for work put in year in and year out. ,,,,,,,Yes,
2/7/2025 12:37:11,X6TAA (329th HHC),Greater than 3 years but less than 6,Yes,No.,No,,No,No,Yes,No,No,No,Yes,I wanted to gain experience to be a police officer on the outside.,Realizing how far I was from my unit. It is the only MP unit in VA. It isn’t necessarily my main deciding factor of getting out but it doesn’t help being slightly geographically isolated from the unit either.,I want to focus completely on my family.,Recreational functions that could maybe hosted outside of drill may help morale a lot through better opportunity for bonding through those recreational functions.,,,,,,,No,
2/7/2025 12:51:13,PE1AA (229th Engineer),Greater than 3 years but less than 6,No,No,No,,No,No,No,No,No,No,No,Money / experience ,Soldier care,New endeavors ,Promotions earned through effort,,,,,,,No,N/A
2/7/2025 12:57:33,PHMAA (111th FA BN),Greater than 12 years,Yes,No,No,,No,No,Yes,No,No,No,Yes,Wanted to,My age,Time to move on,N/a,,,,,,,Yes,
2/7/2025 12:59:10,PE1AA (229th Engineer),Less than 3 years,No,N/a,Yes,Gi bill ,No,No,Yes,Undecided,Yes,I am happy in my current MOS,Yes,School benefits ,Deployment ,Just want to get out ,Better appreciation ,,,,,,,No,
2/7/2025 13:03:51,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,I don’t know ,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,School,Nothing in particular ,I’m undecided ,More time between field drills at home station to be able to learn their own equipment as well as a more comprehensive understanding of what needs to be brought for the field and be more efficient. ,,,,,,,No,
2/7/2025 13:12:14,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,,Yes,"Gi bill, tuition assistance. Problems utilizing federal aid benefits.",No,Yes,Yes,Undecided,No,Yes,Yes,Benefits ,N/A,Civilian obligations,Not sure,,,,,,,No,
2/7/2025 13:22:03,PHMAA (111th FA BN),Greater than 12 years,Yes,Not at this moment ,No,,No,Yes,Yes,Yes,I am happy at my current unit,Yes,Yes,State of economy and adventure ,Physical wear of body and no advancement.,I am interested ,"Accountability, hip pocket cross training, junior enlisted practice taken lead.",,,,,,,Yes,
2/7/2025 13:22:46,P1XAA (276th EN),Greater than 6 years but less than 12,Yes,No questions,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,"Had a buddy in the 229th before and he enjoyed it, I enlisted a year after him",Toxic leadership,I want to Reenlist,Established plans need to happen more often. Last minute changes are understandable but no plan is the worst,,,,,,,No,
2/7/2025 13:25:49,PHMAA (111th FA BN),Greater than 3 years but less than 6,No,,Yes,College,No,Yes,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Help with college and get a good job and experience ,Na,I’m unsure with school and maybe a possible civillian job,Na,,,,,,,No,
2/7/2025 13:31:10,PHMAA (111th FA BN),Less than 3 years,No,N/A,Yes,"Tuition assistance, GI Bill",No,No,Yes,Undecided,No,No,Yes,Educational benefits ,Having to miss school for drill.,I want to focus on school,"More purposeful training, different classes. Interacting with other sections to train.",,,,,,,No,
2/7/2025 13:41:07,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,To provide for my family ,Some don’t see me as a leader when others do. In other words they won’t let me rank up,I like what I do and the people I work with,"At least for my platoon, more hands on training with mos and the ability to get the training needed in a timely manner ",,,,,,,No,
2/7/2025 13:48:29,PHMAA (111th FA BN),Greater than 3 years but less than 6,Yes,Na,Yes,Gi bill,No,Yes,Yes,No,Yes,Yes,No,I left active duty but still wanted some army ,The unit is bad ,I’m not extending or re-upping with the national guard ,Na,,,,,,,No,Na
